"en","ca"
"Clone Walls","Clonar porta"
"Clear Walls","Esborrar el mur"
"Lighting Controls","Controls d'il·luminació"
"Draw Light Source","Dibuixar font de llum"
"Clear Lights","Esborrar els llums"
"Reset Fog of War","Reiniciar boira de guerra"
"Transition to Daylight","Canviar a llum diürna"
"Transition to Darkness","Canviar a foscor"
"Reset Fog of War Exploration?","Restablir la boira de guerra?"
"This will reset fog of war for this Scene for all players.","La boira de guerra d'aquesta escena es restablirà per tots els jugadors."
"Ambient Sound Controls","Controls de so ambiental"
"Draw Ambient Sound","Crea una font de so ambiental"
"Preview Ambient Sounds","Previsualitza el so ambiental"
"Clear Sounds","Esborrar el so"
"Journal Notes","Notes del diari"
"Select Notes","Seleccionar nota"
"Toggle Notes Display","Alternar visibilitat de notes"
"Clear Notes","Esborrar notes"
"Clear All Objects","Esborrar tots els objectes"
"Permanently delete all {type} objects from this Scene?","Esborrar de forma permanent tots els objectes {type} d'aquesta escena?"
"General Game Controls","Controls de joc"
"These controls generally apply across all aspects of Foundry functionality.","Aquests controls s'apliquen generalment a tots els aspectes de la funcionalitat de Foundry."
"Canvas Layer Controls","Controls de llenç de joc"
"These controls apply when interacting with a specific Canvas layer.","Aquests controls s'apliquen quan s'interactua amb una capa específica del llenç de joc."
"Placeable Object Controls","Controls dels objectes posicionables"
"These controls apply when interacting with an Object placed on the Canvas.","Aquests controls s'apliquen quan s'interactua amb un objcete del llenç de joc."
"Specialized Controls","Controls especials"
"These controls apply only during specific interactions.","Aquests controls s'apliquen només durant interaccions específiques."
"Mouse Controls","Controls del ratolí"
"Keyboard Controls","Controls del teclat"
"Toggle Main Menu","Obrir/tancar el menú principal"
"Close Open Windows","Tancar finestres obertes"
"Toggle Game Pause","Alternar pausa (GM)"
"Cancel Pending Move","Anul·lar el moviment pendent"
"Move Object","Moure l'objecte"
"Pan Canvas","Moure el llenç de joc"
"Select Object","Seleccionar objecte"
"Add or Remove Selected Objects","Afegir o treure objectes seleccionats"
"Use Active Tool","Emprar eina activa"
"Cancel Left-Drag Operation","Anul·lar arrossegament amb clic esquerre."
"Zoom Canvas","Acostar/allunyar el llenç de joc"
"Left Click","Clic esquerre"
"Double Left Click","Doble-clic esquerre"
"Left-Click Drag","Clic esquerre i arrossegar"
"Double","Doble"
"Right-Click","Clic dret"
"Drag","Arrossegament"
"Drop","Deixar anar"
"during","Durant"
"Highlight Canvas Objects","Destacar objectes del llenç de joc"
"Pan Canvas","Moure el llenç de joc"
"Zoom In","Acostar la vista"
"Zoom Out","Allunyar la vista"
"Cycle Tokens or Reset View","Alternar tokens o reiniciar vista"
"Keyboard Movement (Tokens or Tiles)","Moviment del teclat (tokens o rajoles)"
"Diagonal Movement","Moviment diagonal"
"Face Direction","Direcció de visió"
"Delete Selected Objects","Esborrar els objectes seleccionats"
"Copy Canvas Elements","Copiar objectes del llenç de joc"
"Paste Canvas Elements","Enganxar objectes en el llenç de joc"
"Undo Canvas Operation","Desfer operació en el llenç de joc"
"Activate Hotbar Slot","Activar casella de la barra d'accés ràpid"
"Ruler Measurement","Mesurar amb regle"
"Measure Distance with Ruler","Mesurar distància amb regle"
"Place Measurement Waypoint","Col·locar punt de referència"
"Move Token on Measured Path","Moure token pel camí mesurat"
"while measuring from a Token","mentre es mesura des del token"
"Open Referenced Object Sheet","Obrir fitxa de l'objecte"
"Display Object HUD (If Applicable)","Mostrar HUD de l'objecte (si cal)"
"Open Object Configuration Sheet","Obrir full de configuració de l'objecte"
"Move Controlled Objects","Moure els objectes seleccionats"
"Cancel Drag Workflow","Anul·lar arrossegament"
"Rotate Object (Slow)","Girar l'objecte (lent)"
"Rotate Object (Fast)","Girar l'objecte (ràpid)"
"Bypass Snap-to-Grid","Ignorar ajustos a graella"
"Mouse-Wheel","Roda del ratolí"
"Drag and Drop","Arrossegar i deixar anar"
"Token Controls","Controls dels tokens"
"Place Hidden Token","Col·locar token ocult"
"Set (non-Owned) Token as Target","Establir el token (no propi) com a objectiu"
"when creating a Token.","en crear un token."
"Walls Layer Controls","Controls de la capa de mur"
"Chain Wall Creation","Enllaçar cadena de mur"
"Select Chained Segments","Seleccionar cadena de mur"
"Drawing Tool Controls","Controls de l'eina de dibuix"
"Confirm Drawing Text","Confirmar text dibuixat"
"Cancel Drawing Text","Anul·lar text dibuixat"
"The dice roll formula {formula} did not produce a numeric outcome.","L'expressió de construcció de la tirada de daus {fórmula} no ha produït cap resultat numèric."
"The attribute {match} was not present in the provided roll data.","No s'ha trobat l'atribut {match} en les dades de la tirada proporcionada."
"Create New {type}","Crear un/a {type}"
"Delete {type}","Esborra {type}"
"New {type}","{type} nou"
"Update {type}","Actualitza {type}"
"Import Data","Importa les dades"
"You did not upload a data file!","No s'ha pogut carregar el fitxer de dades!"
"You may import data for this {document} from an exported JSON file.","Pots importar les dades de {document} des d'un fitxer d'exportació JSON."
"This operation will update the data for {name} and cannot be un-done.","Aquesta operació actualitza les dades de {name} i no es pot desfer."
"Source Data","Fonts de dades"
"You do not have permission to view this {document} sheet.","no teniu permís per veure aquest full {document}."
"You do not have permission to use this {document}.","No teniu permís per utilitzar aquest {document}."
"Active Effect","Efecte actiu"
"Actor","personatge"
"Ambient Light","llum ambiental"
"Ambient Sound","so ambiental"
"Chat Message","missatge de xat"
"Combat Encounter","enfrontament de combat"
"Combatant","combatent"
"Drawing","dibuix"
"Folder","carpeta"
"Item","objecte"
"Journal Entry","entrada del diari"
"Macro","macro"
"Measured Template","eina de mesura"
"Note","nota"
"Playlist","llista de reproducció"
"Playlist Sound","so"
"Scene","escena"
"Setting","paràmetres"
"Rollable Table","taules aleatòries"
"Table Result","resultat de la taula"
"Tile","rajola"
"Token","token"
"User","jugador"
"Wall","paret"
"Drawing Configuration","Configuració de dibuix"
"Default Drawing Configuration","Configuració de dibuix per defecte"
"Configure Default","Configurar valor per defecte"
"Create Drawing","Crear un dibuix"
"Update Drawing","Actualitzar un dibuix"
"Reset Defaults","Restablir valors per defecte"
"Position","Posició"
"Lines","Línies"
"Fill","Omplir"
"Text","Text"
"Adjust the position and visibility of the Drawing.","Ajustar la posició i visibilitat del dibuix."
"Adjust the outer line work for the Drawing.","Ajustar la línia exterior pel dibuix."
"Adjust the interior fill preferences for this Drawing.","Ajustar les preferències d'ompliment per aquest dibuix."
"Adjust the text label applied to this Drawing (if any).","Ajustar l'etiqueta de text aplicada a aquest dibuix (si hi ha)."
"Author","Autor"
"X-Position","Posició X"
"Y-Position","Posició Y"
"Width","Ample"
"Height","Alçada"
"Rotation","Rotació"
"Z-Index","Índex Z"
"Line Width","Ample de la línia"
"Stroke Color","Color del traç"
"Line Opacity","Opacitat de la línia"
"Smoothing Factor","Factor de suavització"
"For freehand drawing, the smoothing factor controls the amount of spline smoothing.","Quan es dibuixa a mà alçada, el factor de suavització controla el nivell de suavització de la interpolació spline."
"Fill Types","Tipus d'ompliment"
"None","Cap"
"Solid","Sòlid"
"Pattern","Patró"
"Fill Color","Color de l'ompliment"
"Fill Opacity","Opacitat de l'ompliment"
"Fill Texture","Textura de l'ompliment"
"Text Label","Etiqueta de text"
"Font Family","Família de la font"
"Font Size","Mida de la font"
"Text Color","Color del text"
"Text Opacity","Opacitat del text"
"Custom","Personalitzat"
"Multiply","Multiplicar"
"Add","Afegir"
"Downgrade","Rebaixar"
"Upgrade","Actualitzar"
"Override","Anul·lar"
"Configure Active Effect","Configurar efecte actiu"
"Details","Detalls"
"Duration","Duració"
"Effects","Efectes"
"Effect Label","Etiqueta de l'efecte"
"Effect Icon","Icona de l'efecte"
"Icon Tint Color","Matís de la icona"
"Effect Suspended","Efecte desactivat"
"Effect Origin","Origen de l'efecte"
"Transfer Effect to Actor","Transferir efecte al personatge"
"Effect Duration (Seconds)","Duració de l'efecte (segons)"
"Effect Start Time","Temps d'inici de l'efecte"
"Effect Duration (Turns)","Duració de l'efecte (torns)"
"Combat Encounter","Enfrontament de combat"
"Effect Start Turn","Torn d'inici de l'efecte"
"Attribute Key","Clau d'atribut"
"Change Mode","Canviar mode"
"Effect Value","Valor de l'efecte"
"Submit Changes","Enviar canvis"
"Asleep","Adormit"
"Dead","Mort"
"Unconscious","Inconscient"
"Stunned","Atordit"
"Prone","Prostrat"
"Restrained","Aferrat"
"Paralyzed","Paralitzat"
"Flying","Volant"
"Blind","Cegat"
"Deaf","Eixordat"
"Silenced","Silenciat"
"Afraid","Espantat"
"Burning","Roent"
"Frozen","Congelat"
"Shocked","En xoc"
"Corroding","Corrosió"
"Bleeding","Sagnant"
"Diseased","Malalt"
"Poisoned","Enverinat"
"Radioactive","Radioactiu"
"Regeneration","Regeneració"
"Degeneration","Degeneració"
"Empowered","Potenciat"
"Weakened","Afeblit"
"Targeted","Objectiu"
"Marked","Marcat"
"Cursed","Maleït"
"Blessed","Beneït"
"Fire Shield","Escut de foc"
"Ice Shield","Escut de gel"
"Magic Shield","Escut màgic"
"Holy Shield","Escut sagrat"
"Actor","personatge"
"Chat Message","missatge de xat"
"Combat Encounter","combat"
"Item","objecte"
"Folder","carpeta"
"Journal Entry","entrada del diari"
"Macro Command","macro"
"Audio Playlist","llista de reproducció d'àudio"
"Scene","escena"
"Rollable Table","taula dinàmica"
"User","usuari"
"Create New {entity}","Crear un/a {entity}"
"New {entity}","{entity}"
"Create New","nou"
"Foundry Virtual Tabletop uses modern JavaScript features which are unsupported on {browser} version less than {minimum}. You are using {browser} version {version}. Please update or use a different browser.","Foundry Virtual Tabletop utilitza característiques modernes de JavaScript que no són compatibles amb versions de Chromium inferior a {minimum}. Està fent servir la versió {version} de Chromium i podries tenir problemes."
"Foundry Virtual Tabletop requires a minimum screen resolution of {reqWidth}px by {reqHeight}px or greater. Your display currently has an effective resolution of {width}px by {height}px, as a result many features of the software may not work properly.","Foundry Virtual Tabletop necessita una resolució de pantalla mínima de 1366x768px. La seva pantalla és {width}x{height}px. Amb la seva configuració de pantalla actual, moltes funcions del programari podrien no funcionar correctamente"
"Your browser does not currently support WebGL rendering which is required by Foundry Virtual Tabletop. Ensure that you have hardware rendering and WebGL enabled in your browser.","El seu navegador actualment no permet la renderització per WebGL requerida per Foundry Virtual Tabletop. Comprovi que té activat el renderitzat per hardware i WebGL al seu navegador."
"You are using a Scene background texture with dimensions {width}px by {height}px. One or both of these dimensions exceeds the maximum texture size of {max}px supported by your device.","Està utilizant una textura de fons o escena amb dimensions de {width}x{height}px. Una o qualsevol d'aquaquests dimensions excedeixen la mida màxima per textures de {max}px admeses pel seu dispositiu."
"The provided server administrator password is invalid. If you have forgotten your configured password you will need to manually delete the <strong>Config/admin.txt</strong> file from your user data location.","La contrasenya d'accés de l'administrador proporcionada no és vàlida. Si ha oblidat la seva contrasenya, haurà d'esborrar manualment l'arxiu <strong>Config/admin.txt</strong> del directori de dades d'usuari.</p>"
"The attempted Token movement collides with at least one Wall.","El moviment fet amb el token xoca amb un mur com a mínim."
"The request to browse existing packages failed to connect with the Foundry server. Make sure your application allows outbound connections.","La sol·licitud per explorar els paquets existents no pot connectar amb el servidor de Foundry. Comprovi que l'aplicació tengui permís per fer connexions sortints."
"No target users exist for this whisper. Check your spelling or try ""/w [User Name]"" instead.","El destinatari no és reconegut per aquest xiuxiueig. Comproveu l'ortografia o proveu ""/w [Nom d'usuari] ""."
"You do not have permission to send whispered chat messages to other players.","No es pot enviar missatges xiuxiuejats a altres jugadors."
"You are using the grid configuration tool for a scene with no background image. This is not currently recommended and may produce unpredictable results.","Està fent servir l'eina de configuració de graella per una escena sense imatge de fons. Això no és recomenable i pot produir resultats impredictibles."
"The dimensions of your configured Foreground Layer image do not match the dimensions of the Background Layer image for this scene. The foreground has been resized which may have undesired results.","Les mides de la imatge de la capa de primer pla no coincideixen amb les mides de l'imatge de fons per aquesta escena. S'ha canviat la mida del primer pla i pot tenir resultats indesitjats."
"Acknowledge Agreement","Agraïments"
"Agree","D'acord"
"I agree to these terms","Estic d'acord amb les condicions"
"Decline","Rebutjar"
"Create Directory","Crear una carpeta"
"Toggle Privacy Mode","Alternar mode privat"
"Display Mode","Forma de Visualització"
"List View","Vista de llista"
"Tiles View","Vista de rajoles"
"Thumbnail View","Vista de miniatura"
"Images View","Vista d'imatge"
"Filter Results","Filtrar resultats"
"S3 Bucket","Cub S3"
"Selected","Seleccionat"
"Select File","Selecciona el fitxer"
"Select Directory","Selecciona la carpeta"
"Asset Grid Size","Mida de la rajola"
"Specify the pixel grid size of source tile artwork so it will be automatically resized when placed onto your active Scene.","Especifiqui la mida de la graella en píxels de la il·lustració de les rajoles per redimensionar automàticament quan es col·loqui en l'escena activa."
"No matching results found in this location.","No s'han trobat resultats en aquesta ubicació."
"Upload","Pujar"
"Search","Cercar fitxer"
"The file you have attempted to upload is too large for your proxy server to handle.","L'arxiu que intenta pujar és massa gran pel que pot suportar el seu servidor proxy."
"Something went wrong with your file upload request.","Error en la sol·licitud de pujada de l'arxiu."
"You have uploaded files into a module or system directory. This is generally <strong>unsafe</strong> because updates to the system or module will delete your files.","Ha pujat arxius al directori d'un mòdul o sistema. Això normalment és <strong>poc segur</strong> perquè les actualitzacions del sistema o del mòdul esborraran aquests arxius."
"Directory Browser","Llista de carpetes"
"Image or Video Browser","Explorador d'imatges o vídeos"
"Image Browser","Explorador d'imatges"
"Video Browser","Explorador de vídeos"
"Audio Browser","Explorador d'àudio"
"User Data","Dades de l'usuari"
"Core Data","Dades bàsiques"
"Amazon S3","Amazon S3"
"Browse Files","Examinar arxius"
"Game Paused","Joc en pausa"
"You cannot take this action while the game is currently paused.","No es pot realitzar aquesta acció mentre el joc estigui pausat"
"Game invitation link copied to clipboard","Enllaç d'invitació copiat al porta-retalls"
"Share the below invitation links with users who you wish to have join your game. The local invitation link is for users on your local network while the internet link connects via internet on the configured port.","Comparteixi els enllaços d'invitació amb els usuaris que desitgi que participin en el joc. Utilitzi l'enllaç marcat com a 'Xarxa local' pels usuaris dins de la seva xarxa, i en cas contrari faci servir l'enllaç 'Internet' pels usuaris que accedeixin per internet al port configurat."
"Internet","Internet"
"Local Network","Xarxa local"
"Game Invitation Links","Enllaços d'invitació al joc"
"Create Item","Crear un objecte"
"Delete Item","Esborrar l'objecte"
"Search Items","Cercar objecte"
"View Item Artwork","Veure Imatge de l'objecte"
"Toggle Visibility State","Alternar visibilitat"
"Toggle Locked State","Alternar bloqueig"
"Bring to Front","Porta al primer pla"
"Send to Back","Envia a sota"
"Overhead Tile","Rajola superposada"
"Underfoot Tile","Rajola al fons"
"Play Tile Video","Reproduir el vídeo"
"Pause Tile Video","Pausar el vídeo"
"Journal","Diari"
"Search Journal Entries","Cercar en el diari"
"Create Entry","Crear entrada"
"Text","text"
"Image","Imatge"
"Show Players","Presentar als jugadors"
"Showed the {mode} content of {title} to {which} players.","S'ha presentat el contingut {mode} de {title} als jugadors {which}."
"Save Entry","Guardar entrada"
"Center","Centre"
"Bottom","A sota"
"Top","A dalt"
"Left","Esquerra"
"Right","Dreta"
"Light Animation Type","Tipus d'animació de llum"
"Animation Speed","Velocitat d'animació"
"Animation Intensity","Intensitat d'animació"
"Torch","Torxa"
"Pulse","Impulsos"
"Chroma","Croma"
"Pulsing Wave","Ona d'impulsos"
"Swirling Fog","Remolí de boira"
"Sunburst","Esclat de sol"
"Light Dome","Cúpula de llum"
"Mysterious Emanation","Emanació misteriosa"
"Energy Field","Camp d'energia"
"Hexa Dome","Cúpula hexagonal"
"Ghostly Light","Llum fantasmagòrica"
"Roiling Mass (Darkness)","Massa enfurismada (foscor)"
"Black Hole (Darkness)","Forat Negre (foscor)"
"Light Source Configuration","Configuració de fonts de llum"
"Configure the position, radius, angle, color, and animation of this ambient light source.","Configuri la posició, radi, angle, color i animació d'aquesta font de llum ambiental."
"Create Light Source","Crear una font de llum"
"Dim Light Radius","Radi de llum tènue"
"Bright Light Radius","Radi de llum lluent"
"Emission Angle","Angle d'emissió"
"Light Color","Color de la Llum"
"Color Intensity","Intensitat del color"
"Light Rotation Angle","Angle de rotació de llum"
"Light Type","Tipus de llum"
"Local Light","Llum local"
"Global Light","Llum global"
"Universal Light","Llum universal"
"Update Light Source","Actualitzar font de llum"
"Create Macro","Crear una macro"
"Delete Macro","Esborrar la macro"
"Edit Macro","Editar la macro"
"Execute Macro","Executar la macro"
"Remove Macro","Eliminar la macro"
"Save Macro","Guardar la macro"
"Search Macros","Cercar macro"
"Reload Application","Recarregar l'aplicació"
"Log Out","Tancar la sessió"
"User Management","Gestionar els jugadors"
"Return to Setup","Tornar a la configuració"
"Bug or Issue Reports","Informe de les errades o els problemes"
"Deactivate All Modules","Desactivar tots els mòduls"
"Module Documentation","Documentació del mòdul"
"Module Management","Gestió dels mòduls"
"Use this form to configure which Modules are active within your current World. Submitting changes to active modules will cause the current session to reload.","Fes servir aquest formulari per configurar quins mòduls són actius en el món de joc actual. Realitzar canvis en els mòduls actius tornarà a carregar la sessió actual."
"The Modules listed below are currently active within this World.","Els mòduls de la llista es troben actius en aquest món."
"No Modules are available within this World. You can view, but do not have permission to modify this list.","No hi ha mòduls disponibles en aquest món. Pot veure la llista, però no té permisos de modificació."
"Filter Modules","Cercar mòdul"
"Save Module Settings","Guardar la configuració de mòduls"
"Dependencies","Dependències"
"This module has {number} inactive dependencies which are required for it to function properly:","Aquest mòdul té {number} dependències que són necessàries per funcionar correctament. Voldries activar-les també?"
"Enable module and its dependencies?","Activar el mòdul i les seves dependències?"
"This module had {number} dependencies which may no longer be required:","Aquest mòdul té {number} dependències que potser ja no són necessàries. Voldries desactivar-les també?"
"Would you like to disable them also?","Vol desactivar-les també?"
"The dependency {missing} is not installed!","La dependència {missing} no està instal·lada!"
"You have enabled the module {module}, but it's dependencies {missing} are not enabled!","S'ha activat el mòdul {module}, però les seves {missing} dependències no estan activades!"
"All Modules"," Tots els mòduls"
"Active Modules","Mòduls actius"
"Inactive Modules","Mòduls inactius"
"Text Anchor Point","Punt d'ancoratge del text"
"Map Note Configuration","Configuració de les notes de mapa"
"Create Map Note","Crear una nota al mapa"
"Entry Icon","Icona de l'entrada"
"Font Size","Mida de la font"
"Font Family","Família de la font"
"Icon Size","Mida de la icona"
"Icon Tint","Matís de la icona"
"Text Label","Etiqueta de text"
"Text Color","Color del text"
"Update Map Note","Actualitzar notes del mapa"
"You do not have sufficient permission to create a Note for {name}.","No tens prou permisos per crear una nota per {name}."
"Players","Jugadors"
"Select Character","Seleccionar personatge"
"Selected Character","Personatge seleccionat"
"Release Character","Alliberar personatge"
"User Configuration","Configuració del jugador"
"Player Color","Color del jugador"
"Player Avatar","Avatar del jugador"
"Pull To Scene","Portar a l'escena actual"
"Save Configuration","Guardar Configuració"
"View Player Avatar","Veure avatar del jugador"
"Kick Player","Expulsar jugador"
"Ban Player","Bloquejar jugador"
"Un-Ban Player","Desbloquejar jugador"
"Create Playlist","Crear una llista de reproducció"
"Delete Playlist","Esborrar la llista de reproducció"
"Edit Playlist","Modificar la llista de reproducció"
"Search Playlists","Cercar llista de reproducció"
"Global Volume Controls","Control del volum general"
"Currently Playing","En reproducció"
"Soundboard Only","Només consola de so"
"Sequential Playback","Reproducció seqüencial"
"Shuffle Tracks","Reproducció aleatòria"
"Simultaneous Playback","Reproducció simultània"
"Play Playlist","Reproduir la llista de reproducció"
"Stop Playlist","Aturar la llista de reproducció"
"Next Sound","Endavant"
"Previous Sound","Enrere"
"Playlists","Llistes"
"Ambient","So ambiental"
"Interface","Interfície"
"Playlist Name","Nom de la llista"
"Playback Mode","Mode de reproducció"
"Fade Duration (ms)","Temps d'atenuació(ms)"
"Playlist Description","Descripció de la llista de reproducció"
"Update Playlist","Actualitzar llista de reproducció"
"Create Sound","Crear un so"
