"en","ko"
"Importing {number} {type} entries into the {folder} folder. Please be patient.","{number} 개의 {type} 항목을 {folder} 폴더에 불러오는 중입니다. 잠시 기다려 주세요."
"Successfully imported {number} {type} entries into the {folder} folder.","{number} 개의 {type} 항목을 {folder} 에 불러왔습니다."
"Document Type","엔티티 타입"
"Each Compendium pack contains a specific type of Document.","각 컴펜디움은 특정한 엔티티 타입을 보관합니다."
"Toggle Visibility","공개/비공개 전환"
"Toggle Edit Lock","편집 잠금/해제 전환"
"You are attempting to unlock for editing a compendium that does not belong to this World. Any changes you make in this compendium pack may be lost if the system or module which owns it is updated. You may wish to duplicate the compendium to your world instead. Do you wish to proceed?","이 월드에 소속되지 않은 컴펜디움의 편집 기능을 잠금 해제하려 합니다. 이 컴펜디움이 포함된 모듈 또는 시스템이 업데이트되면 여기서 편집한 모든 변경사항이 유실될 수 있습니다. 컴펜디움을 직접 편집하는 대신 현재 월드에 복제하는 것을 권장합니다. 이대로 진행하시겠습니까?"
"Game Controls Reference","게임 조작법 안내"
"This form describes common keyboard and mouse commands used to control various aspects of the Foundry Virtual Tabletop environment. Some controls are only available to a Game Master user, those are highlighted in light purple.","파운드리 버추얼 테이블탑 환경에서 사용하는 일반적인 키보드 및 마우스 조작법입니다. 연보라색으로 강조된 항목은 게임 마스터 사용자만 사용할 수 있는 조작법입니다."
"Select Tokens","토큰 선택"
"Select Targets","타겟 선택"
"Measure Distance","거리 측정"
"Measurement Controls","측정"
"Circle Template","원형 템플릿"
"Cone Template","원뿔형 템플릿"
"Rectangle Template","직사각형 템플릿"
"Ray Template","직선형 템플릿"
"Clear Templates","모든 템플릿 삭제"
"Tile Controls","타일"
"Select Tiles","타일 선택"
"Place Tile","타일 배치"
"Tile Browser","타일 탐색기"
"Drawing Tools","그리기 도구"
"Select Drawings","그림 선택"
"Draw Rectangle","직사각형 그리기"
"Draw Ellipse","타원형 그리기"
"Draw Polygon","다각형 그리기"
"Draw Freehand","프리핸드 그리기"
"Draw Text","텍스트 그리기"
"Clear Drawings","모든 그림 삭제"
"Configure Drawing","그리기 설정"
"Wall Controls","벽"
"Draw Walls","기본 벽"
"Invisible Walls","투명 벽"
"Terrain Walls","지형 벽"
"Ethereal Walls","에테리얼 벽"
"Draw Doors","기본 문"
"Secret Doors","비밀 문"
"Rectangular Select Walls","벽 선택"
"Force Snap to Grid","항상 격자에 스냅"
"Clone Walls","벽 복제"
"Clear Walls","모든 벽 삭제"
"Lighting Controls","라이팅"
"Draw Light Source","광원 배치"
"Clear Lights","모든 광원 삭제"
"Reset Fog of War","전장의 안개 초기화"
"Transition to Daylight","낮으로 전환"
"Transition to Darkness","어둠으로 전환"
"Reset Fog of War Exploration?","전장의 안개를 초기화하시겠습니까?"
"This will reset fog of war for this Scene for all players.","모든 플레이어에게서 현재 씬의 전장의 안개를 초기화합니다."
"Ambient Sound Controls","앰비언트 사운드"
"Draw Ambient Sound","앰비언트 사운드 배치"
"Clear Sounds","모든 사운드 삭제"
"Journal Notes","저널 노트"
"Select Notes","노트 선택"
"Toggle Notes Display","노트 공개/비공개 전환"
"Clear Notes","모든 노트 삭제"
"General Game Controls","게임 조작법"
"These controls generally apply across all aspects of Foundry functionality.","파운드리의 모든 영역에 일반적으로 사용하는 조작법입니다."
"Canvas Layer Controls","캔버스 오브젝트 조작법"
"These controls apply when interacting with a specific Canvas layer.","특정 캔버스 레이어와 상호작용할 때 사용하는 조작법입니다."
"Placeable Object Controls","배치 가능한 오브젝트 조작법"
"These controls apply when interacting with an Object placed on the Canvas.","캔버스에 배치된 오브젝트와 상호작용할 때 사용하는 조작법입니다."
"Specialized Controls","특수 조작법"
"These controls apply only during specific interactions.","특정 상호작용에서만 사용하는 조작법입니다."
"Mouse Controls","마우스 조작법"
"Keyboard Controls","키보드 조작법"
"Toggle Main Menu","주 메뉴 열기/닫기"
"Close Open Windows","열린 창 모두 닫기"
"Toggle Game Pause","게임 일시정지/재개 (GM)"
"Cancel Pending Move","캔버스 편집 취소"
"Move Object","오브젝트 이동"
"Pan Canvas","캔버스 이동"
"Select Object","오브젝트 선택"
"Add or Remove Selected Objects","선택된 오브젝트 추가 또는 제거"
"Use Active Tool","활성화된 도구 사용"
"Cancel Left-Drag Operation","진행 중인 드래그 취소"
"Zoom Canvas","캔버스 확대"
"Left Click","왼쪽 클릭"
"Double Left Click","왼쪽 더블 클릭"
"Left-Click Drag","왼쪽 클릭 후 드래그"
"Double","더블"
"Right-Click","오른쪽 클릭"
"Drag","드래그"
"Drop","놓기"
"during","during"
"Highlight Canvas Objects","캔버스 오브젝트 강조"
"Pan Canvas","캔버스 이동"
"Zoom In","확대"
"Zoom Out","축소"
"Cycle Tokens or Reset View","토큰 순회 또는 뷰 초기화"
"Keyboard Movement (Tokens or Tiles)","키보드 이동 (토큰 또는 타일)"
"Diagonal Movement","대각선 이동"
"Face Direction","특정 방향 바라보기"
"Delete Selected Objects","선택된 오브젝트 삭제"
"Copy Canvas Elements","캔버스 엘리먼트 복사"
"Paste Canvas Elements","캔버스 엘리먼트 붙여넣기"
"Undo Canvas Operation","캔버스 작업 실행 취소"
"Activate Hotbar Slot","단축키 슬롯 사용"
"Ruler Measurement","측정"
"Measure Distance with Ruler","거리 측정"
"Place Measurement Waypoint","측정 웨이포인트 추가"
"Move Token on Measured Path","측정된 경로로 토큰 이동"
"while measuring from a Token",", 토큰으로부터 측정하는 동안"
"Open Referenced Object Sheet","오브젝트 시트 열기"
"Display Object HUD (If Applicable)","오브젝트 HUD 표시 (표시가 가능한 경우)"
"Open Object Configuration Sheet","오브젝트 설정 시트 열기"
"Move Controlled Objects","제어 중인 오브젝트 이동"
"Cancel Drag Workflow","진행 중인 드래그 취소"
"Rotate Object (Slow)","오브젝트 회전 (천천히)"
"Rotate Object (Fast)","오브젝트 회전 (빠르게)"
"Bypass Snap-to-Grid","격자 스냅 무시"
"Mouse-Wheel","마우스 휠"
"Drag and Drop","드래그 앤 드롭"
"Token Controls","토큰 조작법"
"Place Hidden Token","숨겨진 토큰 배치 (GM)"
"Set (non-Owned) Token as Target","내가 소유하지 않은 토큰을 타겟으로 지정"
"Walls Layer Controls","벽 레이어 조작법"
"Chain Wall Creation","벽 이어서 배치"
"Select Chained Segments","벽 이어서 선택"
"Drawing Tool Controls","그리기 도구 조작법"
"Confirm Drawing Text","텍스트 그리기 확인"
"Cancel Drawing Text","텍스트 그리기 취소"
"The dice roll formula {formula} did not produce a numeric outcome.","주사위 굴림 공식 {formula} 의 결과가 숫자 형식이 아닙니다."
"The attribute {match} was not present in the provided roll data.","제공된 굴림 데이터에 {match} 어트리뷰트가 존재하지 않습니다."
"Actor","액터"
"Chat Message","대화 메시지"
"Combat Encounter","전투 인카운터"
"Item","아이템"
"Folder","폴더"
"Journal Entry","저널 엔트리"
"Macro Command","매크로 커맨드"
"Audio Playlist","오디오 재생목록"
"Scene","씬"
"Rollable Table","굴림표"
"User","사용자"
"Create New","새"
"Foundry Virtual Tabletop requires a minimum screen resolution of {reqWidth}px by {reqHeight}px or greater. Your display currently has an effective resolution of {width}px by {height}px, as a result many features of the software may not work properly.","파운드리 버추얼 테이블탑의 최소 해상도는 가로 {reqWidth}px, 세로 {reqHeight}px입니다. 현재 해상도는 가로 {width}px, 세로 {height}px입니다. 현재 디스플레이 설정에서는 본 소프트웨어의 여러 기능이 제대로 작동하지 않을 수 있습니다."
"Your browser does not currently support WebGL rendering which is required by Foundry Virtual Tabletop. Ensure that you have hardware rendering and WebGL enabled in your browser.","현재 브라우저는 파운드리 버추얼 테이블탑이 요구하는 WebGL 렌더링을 지원하지 않습니다. 브라우저에서 하드웨어 렌더링 및 WebGL을 켜 주십시오."
"You are using a Scene background texture with dimensions {width}px by {height}px. One or both of these dimensions exceeds the maximum texture size of {max}px supported by your device.","배경 텍스쳐 크기가 가로 {width}px, 세로 {height}인 씬을 사용하고 있습니다. 가로, 세로 중 하나 이상이 현재 기기에서 지원하는 최대 텍스쳐 크기인 {max}px을 초과했습니다."
"The provided server administrator password is invalid. If you have forgotten your configured password you will need to manually delete the <strong>Config/admin.txt</strong> file from your user data location.","관리자 비밀번호가 일치하지 않습니다. 설정한 비밀번호를 잊으셨다면 유저 데이터 위치에서 <strong>Config/admin.txt</strong> 파일을 수동으로 삭제하십시오.</p>"
"The attempted Token movement collides with at least one Wall.","토큰 이동이 벽에 막혔습니다."
"The request to browse existing packages failed to connect with the Foundry server. Make sure your application allows outbound connections.","패키지 탐색 요청이 파운드리 서버 접속에 실패했습니다. 응용 프로그램이 아웃바운드 연결을 허용하는지 확인하십시오."
"You are using the grid configuration tool for a scene with no background image. This is not currently recommended and may produce unpredictable results.","배경 이미지가 없는 씬에 격자 설정 도구를 사용하려고 합니다. 이는 권장되지 않으며 예기치 못한 결과를 초래할 수 있습니다."
"Acknowledge Agreement","동의 확인"
"Agree","동의"
"I agree to these terms","다음 약관에 동의합니다."
"Decline","거부"
"Create Directory","디렉토리 생성"
"Toggle Privacy Mode","비공개/공개 전환"
"Display Mode","보기 모드"
"List View","목록형 보기"
"Tiles View","타일형 보기"
"Thumbnail View","썸네일 보기"
"Images View","이미지 보기"
"Filter Results","검색 결과"
"S3 Bucket","S3 버킷"
"Selected","선택됨"
"Asset Grid Size","에셋 격자 크기"
"Specify the pixel grid size of source tile artwork so it will be automatically resized when placed onto your active Scene.","지정된 타일 파일의 격자 픽셀 크기에 맞춰 현재 씬에 배치 시 자동으로 이미지 크기를 조절합니다."
"No matching results found in this location.","이 위치에는 일치하는 결과가 없습니다."
"Upload","업로드"
"The file you have attempted to upload is too large for your proxy server to handle.","업로드하려는 파일은 프록시 서버가 처리하기엔 너무 큽니다."
"Something went wrong with your file upload request.","파일 업로드 요청에서 문제가 발생했습니다."
"You have uploaded files into a module or system directory. This is generally <strong>unsafe</strong> because updates to the system or module will delete your files.","파일을 모듈 또는 시스템 디렉토리에 업로드했습니다. 해당 모듈 또는 시스템이 업데이트 되면 업로드한 파일이 지워지기 때문에 일반적으로 <strong>안전하지 않은</strong> 방법입니다."
"Game Paused","게임이 일시정지되었습니다."
"You cannot take this action while the game is currently paused.","게임이 일시정지 중일 때에는 이 동작을 수행할 수 없습니다."
"Game invitation link copied to clipboard","게임 초대 링크가 클립보드에 복사됐습니다."
"Share the below invitation links with users who you wish to have join your game. The local invitation link is for users on your local network while the internet link connects via internet on the configured port.","게임에 참가하려는 사용자에게 아래 초대 링크를 공유해 주십시오. 같은 로컬 네트워크에 있는 사용자는 로컬 초대 링크를, 설정된 포트에 인터넷으로 접속하는 사용자는 인터넷 링크를 사용합니다."
"Internet","인터넷"
"Local Network","로컬 네트워크"
"Game Invitation Links","게임 초대 링크"
"Create Item","아이템 생성"
"Delete Item","아이템 삭제"
"Search Items","아이템 검색"
"View Item Artwork","아이템 아트워크 보기"
"Toggle Visibility State","공개/비공개 전환"
"Toggle Locked State","잠금/해제 전환"
"Bring to Front","앞으로 가져오기"
"Send to Back","뒤로 보내기"
"Journal","Journal"
"Search Journal Entries","저널 엔트리 검색"
"Create Entry","엔트리 생성"
"Light Color","빛 색상"
"Create Macro","매크로 생성"
"Delete Macro","매크로 삭제"
"Execute Macro","매크로 실행"
"Save Macro","매크로 저장"
"Search Macros","매크로 검색"
"Reload Application","어플리케이션 새로고침"
"Log Out","로그아웃"
"User Management","플레이어 설정"
"Return to Setup","셋업 화면으로 돌아가기"
"Bug or Issue Reports","버그 및 문제점 제보"
"Module Documentation","모듈 문서"
"Module Management","모듈 관리"
"Use this form to configure which Modules are active within your current World. Submitting changes to active modules will cause the current session to reload.","현재 월드에서 활성화할 모듈을 설정합니다. 활성화된 모듈의 설정을 변경하면 현재 세션이 새로고침됩니다."
"The Modules listed below are currently active within this World.","다음과 같은 모듈이 현재 월드에서 활성화 상태입니다."
"No Modules are available within this World. You can view, but do not have permission to modify this list.","현재 월드에서 사용 가능한 모듈이 없습니다. 이 목록은 읽기 전용이며 편집할 수 없습니다."
"Save Module Settings","모듈 설정 저장"
"Text Anchor Point","텍스트 앵커 포인트"
"Map Note Configuration","맵 노트 설정"
"Entry Icon","엔트리 아이콘"
"Font Size","글꼴 크기"
"Icon Size","아이콘 크기"
"Icon Tint","아이콘 색상"
"Text Label","텍스트 라벨"
"Update Map Note","변경 내용 저장"
"Players","플레이어 목록"
"Select Character","캐릭터 선택"
"Release Character","캐릭터 반납"
"User Configuration","플레이어 설정"
"Player Color","플레이어 색상"
"Player Avatar","플레이어 아바타"
"Pull To Scene","현재 씬으로 데려오기"
"Save Configuration","설정 저장"
"View Player Avatar","플레이어 아바타 보기"
"Kick Player","플레이어 추방"
"Ban Player","플레이어 차단"
"Un-Ban Player","플레이어 차단 해제"
"Create Playlist","재생목록 생성"
"Delete Playlist","재생목록 삭제"
"Edit Playlist","재생목록 편집"
"Global Volume Controls","전체 음량 제어"
"Soundboard Only","사운드보드로만 사용"
"Sequential Playback","순서대로 재생"
"Shuffle Tracks","셔플 재생"
"Simultaneous Playback","동시 재생"
"Play Playlist","재생목록 재생"
"Stop Playlist","재생목록 정지"
"Playlists","재생목록 음량"
"Ambient","앰비언트 음량"
"Interface","인터페이스 음량"
"Edit Sound","음원 편집"
"Delete Sound","음원 삭제"
"Loop Sound","음원 반복 재생"
"Play Sound","음원 재생"
"Preload Sound","음원 미리 불러오기"
"Sound Volume","음원 음량"
"Sound Stop","음원 정지"
"Accessibility","접근성"
"GM Only","GM 전용"
"All Players","모든 플레이어"
"Activate","활성화"
"Audio Playlist","오디오 재생목록"
"A Playlist which should automatically begin playing when this Scene is activated.","이 씬이 활성화될 때 자동으로 재생될 재생목록입니다."
"Background Color","배경 색상"
"Background Image","배경 이미지"
"Background Image Scale","배경 이미지 배율"
"Configure","설정"
"Darkness Level","어둠 레벨"
"Apply an overlay which darkens the Scene and diminishes light sources to simulate nighttime or dim conditions.","밤이나 약한 빛 환경을 위해 씬을 가리는 어둠 오버레이를 설정합니다."
"Change Scene Dimensions?","씬 크기를 변경하시겠습니까?"
"You are changing the underlying dimensions of this Scene, if you have already placed objects in this Scene this operation may cause those objects to shift position relative to the background image.","이 씬의 크기를 변경하려 합니다. 씬 배경 이미지에 대한 배치된 오브젝트들의 상대적 위치가 바뀔 수 있습니다."
"Fog Exploration","전장의 안개 탐색"
"Track the exploration progress of Tokens in this Scene, revealing fog of war for areas which have been explored.","이 씬의 탐색 진행에 따라 전장의 안개를 걷어냅니다."
"Regenerate Thumbnail Image","썸네일 이미지 재생성"
"Unrestricted Vision Range","전역 조명"
"Reveal all areas that controlled Tokens have direct line of sight to observe. If disabled, vision is restricted to illuminated areas.","이 씬에서 제어 중인 토큰의 시선이 닿는 모든 영역을 밝힙니다."
"Grid Color","격자 색상"
"Grid Configuration Tool","격자 설정 도구"
"Grid Opacity","격자 불투명도"
"Grid Type","격자 타입"
"Gridless","격자 없음"
"Square","정사각형"
"Hexagonal Rows - Odd","육각형 가로 배열 - 홀수 오프셋"
"Hexagonal Rows - Even","육각형 가로 배열 - 짝수 오프셋"
"Hexagonal Columns - Odd","육각형 세로 배열 - 홀수 오프셋"
"Hexagonal Columns - Even","육각형 세로 배열 - 짝수 오프셋"
"Grid Size","격자 크기"
"Grid Offset Position","격자 오프셋 위치"
"Units","격자 거리 단위"
"Initial View Position","초기 뷰 위치"
"Capture Current View","현재 뷰 캡쳐"
"Set a default camera position that is displayed the first time this Scene is viewed.","씬에 처음으로 들어올 때 카메라로 보여줄 기본 위치를 지정합니다."
"Navigation Name","내비게이션 이름"
"An alternative name for the Scene that is displayed in the Navigation Bar instead of the actual Scene name.","내비게이션 바에서 플레이어들에게 보여줄 씬 별칭입니다."
"Scene Notes","씬 노트"
"Padding Percentage","여백 비율"
"pixels","픽셀"
"Preload Scene","씬 미리 불러오기"
"Scene Name","씬 이름"
"View Scene","씬 보기"
"Journal Notes","저널 노트"
"A linked Journal Entry which provides notes for the Game Master about this Scene.","이 씬에 연결된 저널 엔트리로서 씬에 관한 노트를 게임 마스터에게 제공합니다."
"Navigation","내비게이션 바에 표시"
"Token Vision","토큰 시야"
"Restrict visibility within this Scene to the shared vision of all controlled Tokens. If disabled, the entire Scene is visible.","제어 중인 토큰과 그 시야에 따라 씬에서 보이는 부분을 제한합니다."
"Toggle Navigation","바에서 숨기기"
"units","격자 거리 단위"
"Weather Effect","날씨 효과"
"Configure an active Weather Effect which is present within this Scene.","씬의 날씨 효과를 설정합니다."
"Configure Settings","환경 설정"
"Controls Reference","조작법 안내"
"View Documentation","공식 문서 보기"
"Invitation Links","초대 링크"
"Manage Modules","모듈 관리"
"View Active Modules","활성화된 모듈 보기"
"Configure Game Settings","게임 환경 설정"
"Update Software","소프트웨어 업데이트"
"Log Out","로그아웃"
"User Management","플레이어 설정"
"Reset Defaults","기본값으로 초기화"
"Save Changes","변경 내용 저장"
"Return to Setup","셋업 화면으로 돌아가기"
"General Information","일반 정보"
"Game Settings","게임 설정"
"Help and Documentation","도움말 문서"
"Community Wiki Pages","커뮤니티 위키 페이지"
"Language Preference","언어 설정"
"Change the displayed language for Foundry Virtual Tabletop.","파운드리 버추얼 테이블탑에서 표시될 언어를 변경합니다."
"Enable Chat Bubbles","말풍선 사용"
"Configure whether or not chat bubbles will be displayed above Tokens for in-character and emote type chat messages.","캐릭터 연기와 감정 표현 유형의 대화 메시지를 토큰 위에 말풍선으로 표시할지 여부를 설정합니다."
"Pan to Token Speaker","말하는 토큰으로 카메라 이동"
"Configure whether to automatically pan the camera to a speaking token when it displays a chat bubble.","토큰이 말풍선을 표시할 때 카메라를 자동으로 해당 토큰에게 이동시킬지 여부를 설정합니다."
"Maximum Framerate","최대 FPS"
"Limit the maximum framerate at which Foundry Virtual Tabletop will render canvas updates. Lowering this value may improve application performance for less powerful hardware.","파운드리 버추얼 테이블탑이 캔버스 업데이트를 렌더링하는 최대 프레임레이트를 제한합니다. 이 값을 낮추면 저사양 하드웨어에서 성능을 향상시킬 수 있습니다."
"Enable Soft Shadows","소프트 섀도우 사용"
"Enable soft shadows for more beautiful dynamic lighting, or disable it for improved performance on machines with lower-end hardware.","소프트 섀도우를 사용하면 동적 광원 효과를 더 아름답게 보이게 할 수 있으며 사용하지 않으면 저사양 하드웨어에서 성능을 향상시킬 수 있습니다."
"Core Settings","코어 설정"
"Module Settings","모듈 설정"
"System Settings","시스템 설정"
"Core Software Version","코어 소프트웨어 버전"
"If an update to the core Foundry Virtual Tabletop software is available, you may apply it here. You are currently using version {coreVersion}.","파운드리 버추얼 테이블탑 코어 소프트웨어에 새 업데이트가 있으면 여기서 적용할 수 있습니다. 현재 버전은 {coreVersion} 입니다."
"Software Configuration","소프트웨어 설정"
"Software Update","소프트웨어 업데이트"
"A {type} update to {channel} version {version} is now available!","{channel} 채널의 {version} 버전으로 업데이트 할 수 있습니다!"
"Configuration","환경 설정"
"These fields customize the behavior of the Foundry Virtual Tabletop application. Changes will require the server to restart.","아래 속성들은 파운드리 버추얼 테이블탑 서버의 작동을 변경합니다. 변경할 때 주의해 주십시오. 변경 내용을 반영하려면 소프트웨어를 재시작해야 합니다."
"Add-on Modules","애드온 모듈"
"Game Systems","게임 시스템"
"Configuration and Setup","설정 및 셋업"
"Update Software","SW 업데이트"
"Update All","모두 업데이트"
"Software Update Channel","소프트웨어 업데이트 채널"
"You may choose an update channel to control the types of updates you wish to receive for the core Foundry Virtual Tabletop software. If you do not have a specific reason to change this, it is recommended to consume the Release channel.","업데이트 채널을 선택하여 파운드리 버추얼 테이블탑 코어 소프트웨어에 적용할 업데이트 타입을 제어할 수 있습니다. 채널을 변경할 특별한 사유가 있는 것이 아니라면 Release 채널을 사용할 것을 권장합니다."
"Update","업데이트 확인"
"Check For Update","업데이트 확인"
"Alpha (Unstable)","Alpha (불안정)"
"Beta (Release Candidate)","Beta (Release 후보)"
"Release (Stable)","Release (안정)"
"Checking the Force Update box will force your version to the requested channel. Do not use this option unless you know exactly what you are doing.","강제 업데이트 항목에 체크하면 요청한 채널에 배포된 버전으로 강제로 업데이트합니다. 이에 대해 잘 모른다면 사용하지 마십시오."
"Uninstall","제거"
"Create World","월드 생성"
"Delete World","월드 삭제"
"Edit World","월드 편집"
"Launch World","월드 실행"
"Game Worlds","게임 월드"
"Requires Update","업데이트 필요"
"Requires System Update","시스템 업데이트 필요"
"Requires Dependency","디펜던시 필요"
"Requires Core Update","코어 업데이트 필요"
"Compatibility Unknown","호환성 알 수 없음"
"Compatibility Risk","호환성 위험"
"Manifest URL","매니페스트 URL"
"You can install any package by providing a direct link to its JSON manifest URL.","패키지의 JSON 매니페스트 URL을 입력해 해당 패키지를 설치할 수 있습니다."
"Install Module","모듈 설치"
"Install System","시스템 설치"
"{type} {name} was installed successfully","설치 성공"
"Installation failed: {message}","설치 실패"
"Install World","월드 설치"
"uninstalled successfully","제거 성공"
"Uninstallation failed","제거 실패"
"updated successfully","업데이트 성공"
"Update failed","업데이트 실패"
"Loading Available Packages","사용 가능한 패키지를 불러오는 중입니다."
"Filter Packages","패키지 검색"
"You can filter available packages by name.","패키지 이름이나 제목을 검색해 사용 가능한 패키지를 필터링할 수 있습니다."
"In order to update Foundry Virtual Tabletop you will need to be connected to the internet and have a valid software license.","파운드리 버추얼 테이블탑을 업데이트하려면 인터넷에 접속해야 하며 유효한 소프트웨어 라이센스가 필요합니다."
"Foundry Virtual Tabletop &bull; Administrator Access","파운드리 버추얼 테이블탑 &bull; 관리자 액세스"
"Administrator Password","관리자 비밀번호"
"You may assign a special administrator password which is required in order to access this setup screen.","이 셋업 스크린에 접근하려면 입력해야 하는 특별한 비밀번호를 할당할 수 있습니다."
"Admin Log Out","관리자 로그아웃"
"AWS Configuration Path","AWS 설정 경로"
"You may provide an AWS configuration file for S3 integration. The path is absolute or relative to the Config subdirectory of user data.","S3 버킷 연동을 위해 AWS 설정 파일을 입력할 수 있습니다. 경로는 절대 경로 또는 사용자 데이터의 하위 디렉토리인 Config 폴더에 대한 상대 경로로 입력합니다."
"Port","포트"
"You may choose which port Foundry Virtual Tabletop uses for TCP connection traffic and enable or disable Universal Plug and Play (UPnP).","파운드리 버추얼 테이블탑이 TCP 연결을 위해 사용하는 포트를 선택할 수 있습니다. 또한 유니버설 플러그 앤 플레이(UPnP)를 켜거나 끌 수 있습니다."
"Enable UPnP?","UPnP 사용"
"User Data Path","사용자 데이터 경로"
"Configure the location where your user data including worlds, systems and modules are stored.","월드, 시스템 및 모듈을 포함한 사용자 데이터가 저장될 위치를 설정합니다."
"Default World","기본 월드"
"You may choose one of your available worlds to automatically launch when the software is started.","사용 가능한 월드 중 하나를 선택해 소프트웨어가 시작될 때 자동으로 해당 월드가 실행되도록 할 수 있습니다."
"SSL Certificate","SSL 인증서"
"SSL Private Key","SSL 비공개 키"
"You may run the server using secure socket layer (SSL) encryption by providing paths to certificate and key files. Paths are absolute or relative to the Config subdirectory in user data.","인증서 및 키 파일 경로를 입력해 서버에 보안 소켓 레이어(SSL) 암호화를 적용할 수 있습니다. 경로는 절대 경로 또는 사용자 데이터의 하위 디렉토리인 Config 폴더에 대한 상대 경로로 입력합니다."
"Override which sheet type you would like to use for this specific entity.","이 특정 엔티티에 오버라이드할 시트 클래스를 선택합니다."
"Set the default sheet type used for this entity type (GM Only).","이 엔티티 타입이 사용할 기본 시트 클래스를 설정합니다. (GM 전용)"
"Save Sheet Configuration","시트 설정 저장"
"View Character Artwork","캐릭터 아트워크 보기"
"Collapse or Expand","접기/펼치기"
"Delete","삭제"
"Duplicate","복제"
"Export Data","데이터 내보내기"
"Clear Folder","폴더에서 꺼내기"
"Folder Color","폴더 색상"
"Create Folder","폴더 생성"
"Collapse All Folders","모든 폴더 접기"
"Delete All","모두 삭제"
"Edit Folder","폴더 편집"
"Folder Name","폴더 이름"
"Remove Folder","폴더 제거"
"Update Folder","폴더 저장"
"All Players","모든 플레이어"
"Configure Permissions","권한 설정"
"Open Permission Configuration","권한 설정 열기"
