"en","zh-tw"
"{user} privately rolled some dice","{user} 進行了暗骰"
"Begin Combat","開始戰鬥"
"Create Encounter","新增戰鬥遭遇"
"Delete Encounter","删除戰鬥遭遇"
"Encounter","戰鬥遭遇"
"Activate Previous Encounter","啓用上個遭遇"
"Activate Next Encounter","啓用下個遭遇"
"End Combat","結束戰鬥"
"Roll Initiative","先攻擲骰"
"Reset Initiative","重置先攻"
"End Combat Encounter?","結束戰鬥遭遇？"
"End this combat encounter and empty the turn tracker?","結束戰鬥遭遇並清空回合追踪器？"
"No Active Encounter","無啓用遭遇"
"There is no active Combat Encounter in your currently viewed Scene.","在你目前查看的場景中沒有啓用的戰鬥遭遇。"
"There are no Combatants remaining in this Encounter which are not defeated.","這次遭遇中沒有剩下沒有戰敗的參戰者。"
"Not Started","未開始"
"Tracked Resource","追踪資源"
"Choose an attribute to track for each combatant.","爲每位參戰者選擇一種屬性來追踪。"
"Round","戰鬥輪"
"Rounds","戰鬥輪"
"Previous Round","上一輪"
"Next Round","下一輪"
"Roll NPCs","NPC擲先攻"
"Roll All","全體擲先攻"
"{name} rolls for Initiative!","{name} 骰先攻！"
"Combat Tracker Settings","戰鬥板設定"
"Save Tracker Settings","儲存戰鬥板設定"
"Skip Defeated?","忽略戰敗"
"Automatically bypass combatants marked as defeated?","自動忽略已被標記爲戰敗的參戰者。"
"Toggle Visibility","切換可見"
"Mark Defeated","標記戰敗"
"Turn","回合"
"Turns","回合"
"End Turn","結束回合"
"Next Turn","下一回合"
"Previous Turn","上一回合"
"Unknown Combatant","未知參戰者"
"Represented Actor","代表角色"
"Create Combatant","新增參戰者"
"Defeated","戰敗"
"Hidden","隱藏"
"Thumbnail Image","縮圖"
"Initiative Value","先攻值"
"Combatant Status","參戰者狀態"
"Update Combatant","更新參戰者"
"Displayed Name","顯示名稱"
"Remove Combatant","移除參戰者"
"Clear Initiative","清空先攻"
"Re-roll Initiative","重擲先攻"
"Represented Token","連結Token"
"The Combatant {name} is not present in your currently viewed Scene","您當前查看的場景中不存在參戰者 {name}"
"Compendium Name","合集名"
"Create Compendium","新增合集"
"Create a new Compendium pack in your current World.","在當前世界中新增一個合集。"
"Delete Compendium","删除合集"
"This Compendium Pack will be permanently deleted and cannot be recovered.","該合集包將被永久刪除且無法恢復。"
"Delete Entry","删除條目"
"This Compendium entry and its data will be permanently deleted.","該合集條目及其資料將被永久刪除。"
"Duplicate Compendium","複製合集"
"New Compendium Title","新增合集標題"
"You may duplicate this compendium into your World to have a local copy of its content which is safe to edit.","你可以將此合集作爲一個本地拷貝複製到你的世界。"
"You must provide a title to create a World Compendium pack.","你必須填寫標題才能新增世界合集。"
"Import All Content","導入全部內容"
"All of the content from this Compendium pack will be imported into your World to a Folder which you may name.","該合集的所有內容將被導入你的世界中一個可命名的文件夾內。"
"Importing {number} {type} entries into the {folder} folder. Please be patient.","導入{number}條{type}條目到{folder}文件夾中。請耐心等待。"
"Successfully imported {number} {type} entries into the {folder} folder.","已成功導入{number}條{type}條目到{folder}文件夾內。"
"Import Entry","導入條目"
"Document Type","條目類型"
"Each Compendium pack contains a specific type of Document.","每個合集包含一個特定的條目類型。"
"Toggle Visibility","切換可見"
"Toggle Edit Lock","切換編輯鎖定"
"You are attempting to unlock for editing a compendium that does not belong to this World. Any changes you make in this compendium pack may be lost if the system or module which owns it is updated. You may wish to duplicate the compendium to your world instead. Do you wish to proceed?","解鎖這個（不屬於該世界的）合集將使之可被編輯。然而，當包含此合集的系統或MOD有任何變更時，你對該合集的改動可能會丟失。你可以考慮複製此合集到你的世界中作爲替代。你依然想要解鎖嗎？"
"Game Controls Reference","遊戲控制參考"
"This form describes common keyboard and mouse commands used to control various aspects of the Foundry Virtual Tabletop environment. Some controls are only available to a Game Master user, those are highlighted in light purple.","該表單描述了用於控制FVTT環境各個方面的通用鍵盤和鼠標指令。某些操作僅適用於GM用戶，這些操作以淺紫色突出顯示。"
"Token Controls","Token控制"
"Select Tokens","選擇Token"
"Select Targets","選擇目標"
"Measure Distance","測量距離"
"Measurement Controls","測量控制"
"Template Type","模板類型"
"Border Color","邊框顏色"
"Configure the placement and display of the measurement template.","設定測量模板的放置和顯示."
"Circle Template","圓形範本"
"Cone Template","錐形範本"
"Rectangle Template","矩形範本"
"Ray Template","線形範本"
"Clear Templates","清除範本"
"Template Texture","模板紋理"
"Tile Controls","圖塊控制"
"Select Tiles","選擇圖塊"
"Place Tile","放置圖塊"
"Foreground Layer","前景層"
"Tile Browser","圖塊檢視器"
"Drawing Tools","繪製控制"
"Select Drawings","選擇繪製"
"Draw Rectangle","繪製矩形"
"Draw Ellipse","繪製橢圓"
"Draw Polygon","繪製多邊形"
"Draw Freehand","自由繪製"
"Draw Text","繪製文字"
"Clear Drawings","清除繪製"
"Configure Drawing","設定繪製"
"Wall Controls","牆體"
"Draw Walls","普通牆"
"Invisible Walls","隱形牆"
"Terrain Walls","地形牆"
"Ethereal Walls","幽靈牆"
"Draw Doors","門"
"Secret Doors","密門"
"Rectangular Select Walls","框選牆體"
"Force Snap to Grid","强制網格吸附"
"Clone Walls","複製牆體"
"Clear Walls","清除牆體"
"Lighting Controls","光線控制"
"Draw Light Source","繪製光源"
"Clear Lights","清除光源"
"Reset Fog of War","重置戰爭迷霧"
"Transition to Daylight","過渡到白天"
"Transition to Darkness","過渡到夜晚"
"Reset Fog of War Exploration?","重置已探索的戰爭迷霧？"
"This will reset fog of war for this Scene for all players.","這將重置所有玩家在該場景內的戰爭迷霧。"
"Ambient Sound Controls","環境音控制"
"Draw Ambient Sound","新增環境音"
"Preview Ambient Sounds","預覽環境音"
"Clear Sounds","清除音效"
"Journal Notes","日誌筆記"
"Select Notes","選擇筆記"
"Toggle Notes Display","切換筆記顯示"
"Clear Notes","清除筆記"
"Clear All Objects","清除所有對象"
"Permanently delete all {type} objects from this Scene?","是否清除該場景內所有{type}對象？"
"General Game Controls","基礎遊戲控制"
"These controls generally apply across all aspects of Foundry functionality.","這些操作通常適用於Foundry功能的所有方面。"
"Canvas Layer Controls","畫布圖層控制"
"These controls apply when interacting with a specific Canvas layer.","這些操作適用於與特定的畫布圖層交互時。"
"Placeable Object Controls","可放置對象控制"
"These controls apply when interacting with an Object placed on the Canvas.","這些操作適用於與放置在畫布上的對象交互時。"
"Specialized Controls","特定控制"
"These controls apply only during specific interactions.","這些操作僅適用於特定的交互。"
"Mouse Controls","鼠標控制"
"Keyboard Controls","鍵盤控制"
"Toggle Main Menu","切換主菜單"
"Close Open Windows","關閉打開的視窗"
"Toggle Game Pause","切換遊戲暫停"
"Cancel Pending Move","取消待定移動"
"Move Object","移動對象"
"Pan Canvas","平移畫布"
"Select Object","選擇對象"
"Add or Remove Selected Objects","新增或移除已選擇的對象"
"Use Active Tool","使用當前工具"
"Cancel Left-Drag Operation","取消左鍵拖拽操作"
"Zoom Canvas","縮放畫布"
"Left Click","鼠標左鍵"
"Double Left Click","左鍵雙擊"
"Left-Click Drag","左鍵拖拽"
"Double","雙擊"
"Right-Click","鼠標右鍵"
"Drag","拖"
"Drop","放"
"during","於"
"Highlight Canvas Objects","高亮畫布對象"
"Pan Canvas","平移"
"Zoom In","放大"
"Zoom Out","縮小"
"Cycle Tokens or Reset View","切換Token或重置視圖"
"Keyboard Movement (Tokens or Tiles)","鍵盤移動（Token或圖塊）"
"Diagonal Movement","斜向移動"
"Face Direction","朝向"
"Delete Selected Objects","删除選擇對象"
"Copy Canvas Elements","複製畫布元素"
"Paste Canvas Elements","貼上畫布元素"
"Undo Canvas Operation","撤銷畫布操作"
"Activate Hotbar Slot","啓用熱鍵欄"
"Ruler Measurement","標尺測量"
"Measure Distance with Ruler","用尺子測量距離"
"Place Measurement Waypoint","設定位置點"
"Move Token on Measured Path","按位置移動Token"
"while measuring from a Token","在以Token爲起點測量時"
"Open Referenced Object Sheet","打開對象對應的卡片"
"Display Object HUD (If Applicable)","顯示對象HUD（如果可用）"
"Open Object Configuration Sheet","打開對象設定表單"
"Move Controlled Objects","移動受控對象"
"Cancel Drag Workflow","取消拖拽"
"Rotate Object (Slow)","旋轉對象（慢）"
"Rotate Object (Fast)","旋轉對象（快）"
"Bypass Snap-to-Grid","忽略網格吸附"
"Mouse-Wheel","鼠標滾輪"
"Drag and Drop","鼠標拖放"
"Token Controls","Token控制"
"Place Hidden Token","放置隱藏Token"
"Set (non-Owned) Token as Target","選擇(非擁有)Token作爲目標"
"when creating a Token.","新增Token時."
"Walls Layer Controls","牆體層控制"
"Chain Wall Creation","新增連續牆體"
"Select Chained Segments","選擇牆體鏈段"
"Drawing Tool Controls","繪圖工具控制"
"Confirm Drawing Text","確認繪製文字"
"Cancel Drawing Text","取消繪製文字"
"The dice roll formula {formula} did not produce a numeric outcome.","擲骰公式{formula}未産生結果數值。"
"The attribute {match} was not present in the provided roll data.","屬性{match}未在相應的擲骰結果中産生。"
"Create New {type}","新增新 {type}"
"Delete {type}","刪除 {type}"
"New {type}","新 {type}"
"Update {type}","更新 {type}"
"Import Data","導入資料"
"You did not upload a data file!","您沒有上傳資料文件!"
"You may import data for this {document} from an exported JSON file.","您可以用已導出的JSON檔案來 為這 {document} 導入資料."
"This operation will update the data for {name} and cannot be un-done.","此操作將更新 {name} 的資料且無法取消。"
"Source Data","來源資料"
"You do not have permission to view this {document} sheet.","您無權查看此 {document} 工作表."
"You do not have permission to use this {document}.","您無權使用此 {document}."
"Active Effect","主動效果"
"Actor","角色"
"Ambient Light","環境光"
"Ambient Sound","環境音"
"Chat Message","聊天消息"
"Combat Encounter","戰鬥遭遇"
"Combatant","參戰者"
"Drawing","繪圖"
"Folder","文件夾"
"Item","物品"
"Journal Entry","日誌條目"
"Macro","Macro"
"Measured Template","測量板"
"Note","筆記"
"Playlist","播放清單"
"Playlist Sound","播放清單音效"
"Scene","場景"
"Setting","設定"
"Rollable Table","隨機表"
"Table Result","表格結果"
"Tile","圖塊"
"Token","Token"
"User","用戶"
"Wall","牆"
"Drawing Configuration","繪製設定"
"Default Drawing Configuration","預設繪製設定"
"Configure Default","設定爲預設項"
"Create Drawing","新增繪圖"
"Update Drawing","更新繪圖"
"Reset Defaults","重置爲預設"
"Position","位置"
"Lines","輪廓"
"Fill","填充"
"Text","文本"
"Adjust the position and visibility of the Drawing.","調整繪圖的位置和可見性。"
"Adjust the outer line work for the Drawing.","調整繪圖的輪廓。"
"Adjust the interior fill preferences for this Drawing.","調整繪圖的內部填充屬性。"
"Adjust the text label applied to this Drawing (if any).","調整應用到該繪圖的文本標籤（如有）。"
"Author","作者"
"X-Position","X軸坐標"
"Y-Position","Y軸坐標"
"Width","寬度"
"Height","高度"
"Rotation","角度"
"Z-Index","Z軸層疊次序"
"Line Width","線條寬度"
"Stroke Color","描邊色"
"Line Opacity","線條不透明度"
"Smoothing Factor","平滑係數"
"For freehand drawing, the smoothing factor controls the amount of spline smoothing.","平滑係數控制自由繪製中樣條的平滑度。"
"Fill Types","填充類型"
"None","無"
"Solid","顔色"
"Pattern","樣式"
"Fill Color","填充色"
"Fill Opacity","填充不透明度"
"Fill Texture","填充紋理"
"Text Label","文本標籤"
"Font Family","字體家族"
"Font Size","字體大小"
"Text Color","文本色"
"Text Opacity","文本不透明度"
"Custom","自定義"
"Multiply","乘"
"Add","加"
"Downgrade","降級"
"Upgrade","升級"
"Override","覆蓋"
"Configure Active Effect","設定動態效果"
"Details","細節"
"Duration","時長"
"Effects","效果"
"Effect Label","效果標籤"
"Effect Icon","效果圖示"
"Icon Tint Color","圖示色調"
"Effect Suspended","效果暫停"
"Effect Origin","效果來源"
"Transfer Effect to Actor","轉移效果到角色"
"Effect Duration (Seconds)","效果時長（秒）"
"Effect Start Time","效果起始時間"
"Effect Duration (Turns)","效果時長（回合）"
"Combat Encounter","戰鬥遭遇"
"Effect Start Turn","效果起始輪數"
"Attribute Key","屬性名"
"Change Mode","改變方式"
"Effect Value","屬性值"
"Submit Changes","提交變更"
"Asleep","睡眠"
"Dead","死亡"
"Unconscious","昏迷"
"Stunned","震懾"
"Prone","伏地"
"Restrained","束縛"
"Paralyzed","麻痹"
"Flying","飛行"
"Blind","目盲"
"Deaf","耳聾"
"Silenced","沉默"
"Afraid","恐懼"
"Burning","燃燒"
"Frozen","凍結"
"Shocked","驚慌"
"Corroding","腐蝕"
"Bleeding","失血"
"Diseased","疾病"
"Poisoned","中毒"
"Radioactive","輻射"
"Regeneration","再生"
"Degeneration","惡化"
"Empowered","强效"
"Weakened","虛弱"
"Targeted","被針對"
"Marked","被標記"
"Cursed","詛咒"
"Blessed","祝福"
"Fire Shield","火焰盾"
"Ice Shield","寒冰盾"
"Magic Shield","魔法盾"
"Holy Shield","神聖盾"
"Actor","角色"
"Chat Message","聊天信息"
"Combat Encounter","戰鬥遭遇"
"Item","物品"
"Folder","文件夾"
"Journal Entry","日誌"
"Macro Command","Macro命令"
"Audio Playlist","播放列表"
"Scene","場景"
"Rollable Table","隨機表"
"User","用戶"
"Create New {entity}","新增{entity}"
"New {entity}","新的{entity}"
"Create New","新增"
"Foundry Virtual Tabletop uses modern JavaScript features which are unsupported on {browser} version less than {minimum}. You are using {browser} version {version}. Please update or use a different browser.","Foundry Virtual Tabletop 使用JavaScript 功能，這些功能在{browser} 版本低於{minimum} 時不被支持。你使用的是{browser} 版本{version}。請更新或使用另一個檢視器。"
"Foundry Virtual Tabletop requires a minimum screen resolution of {reqWidth}px by {reqHeight}px or greater. Your display currently has an effective resolution of {width}px by {height}px, as a result many features of the software may not work properly.","FoundryVTT要求最低分辨率爲1366x768像素，你當前的分辨率爲{width}x{height}像素。低於最低分辨率的話會導致軟件很多功能無法正常運行。"
"Your browser does not currently support WebGL rendering which is required by Foundry Virtual Tabletop. Ensure that you have hardware rendering and WebGL enabled in your browser.","你的檢視器不支持FoundryVTT所需要的WebGL渲染。請確保在檢視器中啓用了硬件渲染和WebGL。"
"You are using a Scene background texture with dimensions {width}px by {height}px. One or both of these dimensions exceeds the maximum texture size of {max}px supported by your device.","你正在使用的場景背景紋理大小爲{width}x{height}像素。其一或兩者都超出了裝置所支持的最大紋理{max}像素。"
"The provided server administrator password is invalid. If you have forgotten your configured password you will need to manually delete the <strong>Config/admin.txt</strong> file from your user data location.","你提供的管理員訪問密碼無效。如果你忘記了設定的密碼，則需要從用戶資料所在位置手動删除<strong>Config/admin.txt</strong>文件。"
"The attempted Token movement collides with at least one Wall.","正在嘗試的Token移動與至少一堵牆碰撞。"
"The request to browse existing packages failed to connect with the Foundry server. Make sure your application allows outbound connections.","瀏覽現有Package的請求未能與Foundry服務器連接。請確保你的應用程序允許出站連接。"
"No target users exist for this whisper. Check your spelling or try ""/w [User Name]"" instead.","此私訊沒有目標用戶。檢查你的拼寫或改為嘗試 ""/w [User Name]""。"
"You do not have permission to send whispered chat messages to other players.","你沒有權限對其他玩家發送私訊聊天消息。"
"You are using the grid configuration tool for a scene with no background image. This is not currently recommended and may produce unpredictable results.","你正在爲沒有背景圖片的場景使用網格設定工具。目前不建議這樣做，可能會産生未預期結果。"
"The dimensions of your configured Foreground Layer image do not match the dimensions of the Background Layer image for this scene. The foreground has been resized which may have undesired results.","你設定的前景層圖片的大小與此場景的背景層圖片的大小不一致。前景圖片已調整大小，這可能會產生未預期行為。"
"Acknowledge Agreement","同意協議"
"Agree","同意"
"I agree to these terms","我同意這些條款"
"Decline","不同意"
"Create Directory","新增文件夾"
"Toggle Privacy Mode","切換公開模式"
"Display Mode","顯示模式"
"List View","查看列表"
"Tiles View","圖塊列表"
"Thumbnail View","查看預覽"
"Images View","查看圖片"
"Filter Results","篩選結果"
"S3 Bucket","S3文件桶"
"Selected","已選擇"
"Select File","選擇文件"
"Select Directory","選擇目錄"
"Asset Grid Size","素材網格大小"
"Specify the pixel grid size of source tile artwork so it will be automatically resized when placed onto your active Scene.","指定源圖塊圖稿的像素網格大小，以便在放置到啓用的場景中時將自動調整其大小。"
"No matching results found in this location.","在此位置找不到匹配的結果。"
"Upload","上傳"
"Search","搜尋"
"The file you have attempted to upload is too large for your proxy server to handle.","你正在嘗試上傳的文件太大，代理服務器無法處理。"
"Something went wrong with your file upload request.","你的文件上傳請求出了點問題。"
"You have uploaded files into a module or system directory. This is generally <strong>unsafe</strong> because updates to the system or module will delete your files.","文件已上傳到MOD或系統目錄中。 這通常是<strong>不安全</strong>的，因爲更新系統或MOD時將會删除你上傳的文件。"
"Directory Browser","目錄檢視器"
"Image or Video Browser","媒體檢視器"
"Image Browser","圖片檢視器"
"Video Browser","影片檢視器"
"Audio Browser","音樂檢視器"
"User Data","用戶資料"
"Core Data","核心資料"
"Amazon S3","Amazon S3"
"Browse Files","瀏覽文件"
"Game Paused","遊戲暫停"
"You cannot take this action while the game is currently paused.","遊戲暫停時，你不能執行此操作。"
"Game invitation link copied to clipboard","邀請連結已複製到剪貼板"
"Share the below invitation links with users who you wish to have join your game. The local invitation link is for users on your local network while the internet link connects via internet on the configured port.","分享以下連結給希望加入遊戲的用戶。本地邀請連結用於局域網用戶，而互聯網連結用於通過設定的端口進行互聯網連接的用戶。"
"Internet","互聯網"
"Local Network","局域網"
"Game Invitation Links","邀請連結"
"Create Item","新增物品"
"Delete Item","删除物品"
"Search Items","搜尋物品"
"View Item Artwork","查看物品圖片"
"Toggle Visibility State","切換可見"
"Toggle Locked State","切換鎖定"
"Bring to Front","移至前方"
"Send to Back","移至後方"
"Overhead Tile","過頂圖塊"
"Underfoot Tile","腳下圖塊"
"Play Tile Video","播放圖塊影片"
"Pause Tile Video","暫停圖塊影片"
"Journal","日誌"
"Search Journal Entries","搜尋日誌"
"Create Entry","新增日誌"
"Text","文本"
"Image","圖片"
"Show Players","展示給玩家"
"Showed the {mode} content of {title} to {which} players.","已向{which}玩家展示了{title}的{mode}內容。"
"Save Entry","儲存條目"
"Center","中心"
"Bottom","底部"
"Top","頂部"
"Left","左邊"
"Right","右邊"
"Light Animation Type","光源動畫類型"
"Animation Speed","動畫速度"
"Animation Intensity","動畫强度"
"Torch","火把"
"Pulse","脈動"
"Chroma","色度"
"Pulsing Wave","脈衝波"
"Swirling Fog","迷霧"
"Sunburst","日照紋"
"Light Dome","穹頂紋"
"Mysterious Emanation","神秘紋"
"Energy Field","能量場"
"Hexa Dome","六角穹頂紋"
"Ghostly Light","幽光"
"Roiling Mass (Darkness)","攪動質（黑暗）"
"Black Hole (Darkness)","黑洞（黑暗）"
"Light Source Configuration","光源設定"
"Configure the position, radius, angle, color, and animation of this ambient light source.","設定該環境光源的位置、半徑、角度、顔色以及動畫。"
"Create Light Source","新增光源"
"Darkness Activation Range","黑暗有效範圍"
"You may specify a range of darkness levels during which this light source will be visible.","你可以指定一個範圍的黑暗等級，這其中此光源將是可見的。"
"Dim Light Radius","微光半徑"
"Bright Light Radius","亮光半徑"
"Emission Angle","光發射角"
"Light Color","光照顔色"
"Color Intensity","顔色强度"
"Light Rotation Angle","光朝向角"
"Light Type","光源類型"
"Local Light","局部光"
"Global Light","全域光"
"Universal Light","普照光"
"Update Light Source","更新光源"
"Create Macro","新增Macro"
"Delete Macro","删除Macro"
"This Macro will be permanently deleted for all Users.","此Macro將在所有用戶裡被永久刪除。"
"Edit Macro","編輯Macro"
"Execute Macro","執行Macro"
"Remove Macro","移除Macro"
"Save Macro","儲存Macro"
"Search Macros","搜尋Macro"
"Reload Application","重新載入"
"Log Out","登出"
"User Management","玩家設定"
"Return to Setup","返回設定"
"Bug or Issue Reports","錯誤/問題報告"
"Deactivate All Modules","禁用全部MOD"
"Module Documentation","MOD文件"
"Module Management","MOD管理"
"Use this form to configure which Modules are active within your current World. Submitting changes to active modules will cause the current session to reload.","設定當前世界中哪些MOD處於活動狀態。提交對活動MOD的變更將導致重新載入。"
"The Modules listed below are currently active within this World.","當前世界中啓用的MOD列表"
"No Modules are available within this World. You can view, but do not have permission to modify this list.","當前世界中暫無啓用的MOD。你可以查看，但沒有編輯此列表的權限。"
"Filter Modules","搜尋"
"Save Module Settings","儲存MOD設定"
"Dependencies","依賴項目"
"This module has {number} inactive dependencies which are required for it to function properly:","該MOD有{number}個依賴項目以使其正常運行。是否同時啓用這些依賴項目？"
"Enable module and its dependencies?","啓用此模組及其依賴項目？"
"This module had {number} dependencies which may no longer be required:","該MOC有{number}個依賴項目可能不再需要啓用。是否同時禁用這些依賴項目？"
"Would you like to disable them also?","你希望也禁用它們嗎？"
"The dependency {missing} is not installed!","未安裝依賴項目 {missing}！"
"You have enabled the module {module}, but it's dependencies {missing} are not enabled!","你已經啓用了{module}，但是其依賴項目{missing}沒有啓用！"
"All Modules","所有MOD"
"Active Modules","已啓用MOD"
"Inactive Modules","未啓用MOD"
"Text Anchor Point","文字錨點"
"Map Note Configuration","地圖注釋設定"
"Create Map Note","新增地圖筆記"
"Entry Icon","實體圖示"
"Font Size","字體大小"
"Font Family","字體家族"
"Icon Size","圖示大小"
"Icon Tint","圖示色調"
"Text Label","文字標籤"
"Text Color","文本顔色"
"Update Map Note","更新地圖備注"
"You do not have sufficient permission to create a Note for {name}.","你沒有足夠的權限為 {name} 新增筆記。"
"Players","玩家"
"Select Character","選擇角色"
"Selected Character","選擇角色"
"Release Character","釋放角色"
"User Configuration","玩家設定"
"Player Color","玩家顔色"
"Player Avatar","玩家形象"
"Pull To Scene","移到場景"
"Save Configuration","儲存設定"
"View Player Avatar","查看玩家形象"
"Kick Player","踢出玩家"
"Ban Player","封禁玩家"
"Un-Ban Player","解封玩家"
"Create Playlist","新增播放列表"
"Delete Playlist","删除播放列表"
"Edit Playlist","編輯播放列表"
"Search Playlists","搜尋播放列表"
"Global Volume Controls","全域音量設定"
"Currently Playing","當前播放"
"Soundboard Only","僅Soundboard"
"Sequential Playback","連續播放"
"Shuffle Tracks","隨機播放"
"Simultaneous Playback","同步播放"
"Play Playlist","播放列表"
"Stop Playlist","停止列表"
"Next Sound","下一個音效"
"Previous Sound","前一個音效"
"Playlists","播放列表"
"Ambient","環境"
"Interface","界面"
"Playlist Name","播放列表名稱"
"Playback Mode","播放模式"
"Fade Duration (ms)","淡出時間（ms）"
"Playlist Description","播放列表描述"
"Update Playlist","更新播放列表"
"Create Sound","新增音效"
"Edit Sound","編輯音效"
"Delete Sound","删除音效"
"Loop Sound","循環音效"
"Track Name","音軌名稱"
"Audio Source","音訊源"
"Sound Description","音效描述"
"Repeat","重複"
"Large File Streaming","大文件串流"
"Update Track","更新音軌"
"Play Sound","播放音效"
"Pause Sound","暫停音效"
"Preload Sound","預載音效"
"Resume Sound","繼續音效"
"Sound Volume","音量"
"Sound Stop","停止播放"
"Bulk Import","批量導入"
"No valid Playlist Sounds were imported from the requested ""{path}"" directory","所請求的 ""{path}"" 目錄中沒有有效的播放列表音效被導入。"
"Accessibility","可用性"
"GM Only","僅GM"
"All Players","所有玩家"
"Activate","啓用"
"Audio Playlist","自動播放音訊"
"A Playlist which should automatically begin playing when this Scene is activated.","該場景啓用時，自動開始播放選擇的播放列表。"
"Background Color","背景顔色"
"Background Image","背景圖片"
"Configure the background image and dimensions of the scene's primary map.","設定該場景主地圖的背景圖片和大小。"
"Foreground Image","前景圖片"
"An optional foreground image which is drawn above other objects in the Scene.","一張被繪製於此場景的其他物件前的可選的前景圖片。"
"Background Image Scale","背景圖片大小"
"Use SHIFT+Mousewheel or SHIFT+Up Arrow and SHIFT+Down Arrow to adjust the background image size.","使用 SHIFT+鼠標滾輪或 SHIFT+向上箭頭和 SHIFT+向下箭頭來調整背景圖片大小."
"Configure","設定"
"Configure Scene","設定場景"
"Darkness Level","黑暗水平"
"Apply an overlay which darkens the Scene and diminishes light sources to simulate nighttime or dim conditions.","設定黑暗疊加層，使場景模糊不清，以模擬夜晚或昏暗的情况。"
"Scene Dimensions","場景大小"
"Change Scene Dimensions?","改變場景大小？"
"You are changing the underlying dimensions of this Scene, if you have already placed objects in this Scene this operation may cause those objects to shift position relative to the background image.","你正在嘗試修改該場景的基礎大小，如果你已在該場景上放置了對象，這些對象和背景圖片的相對位置可能會偏移。"
"Fog Exploration","戰爭迷霧"
"Track the exploration progress of Tokens in this Scene, revealing fog of war for areas which have been explored.","記錄在該場景內的已探索區域並顯示，如果在視線範圍外則覆蓋迷霧。"
"Regenerate Thumbnail Image","刷新預覽圖"
"Unrestricted Vision Range","全域光照"
"Reveal all areas that controlled Tokens have direct line of sight to observe. If disabled, vision is restricted to illuminated areas.","令場景內的所有區域包含光照，使得受控Token可以看見場景內視線可及的所有區域。"
"Vision Limitation Threshold","全域光照閾值"
"Automatically disable the Unrestricted Vision Range setting when the Darkness Level of the Scene exceeds a threshold value.","當黑暗水平超過特定的閾值時，自動禁用全域光照。"
"Grid Color","網格顔色"
"Grid Configuration Tool","網格設定工具"
"Configure the grid and background image position using the mousewheel and arrow keys, or by manually setting the following fields.","使用鼠標滾輪和箭頭鍵設定網格和背景圖片位置，或通過手動設定以下字段."
"Grid Opacity","網格不透明度"
"Grid Type","網格類型"
"Gridless","無網格"
"Square","方格"
"Hexagonal Rows - Odd","六邊形-奇數行"
"Hexagonal Rows - Even","六邊形-偶數行"
"Hexagonal Columns - Odd","六邊形-奇數列"
"Hexagonal Columns - Even","六邊形-偶數列"
"Grid Size","網格大小"
"Use ALT+Mousewheel or ALT+Up Arrow and ALT+Down Arrow to adjust the grid size.","使用 ALT+鼠標滾輪或 ALT+向上箭頭和 ALT+向下箭頭來調整網格大小."
"Grid Offset Position","網格偏移位置"
"Use the Arrow Keys to shift the grid offset.","使用箭頭鍵移動網格偏移."
"Grid Scale","網格尺度"
"Distance","距離"
"Units","網格單位"
"Ambience and Atmosphere","環境與氛圍"
